identifier,address,chain,name,symbol,decimals,coingecko,cryptocompare,started,protocol
eip155:56/erc20:0x7C3B67B30eFBAcC8f787f7EBd3bdc65234299f4c,0x7C3B67B30eFBAcC8f787f7EBd3bdc65234299f4c,56,ClinTex CTI (Wormhole),CTI,18,clintex-cti,,1649427684,
eip155:56/erc20:0xdD5a149740c055bdcdC5C066888f739DBe0bf2d0,0xdD5a149740c055bdcdC5C066888f739DBe0bf2d0,56,MoneySwap,MSWAP,18,moneyswap,,1615188005,
eip155:56/erc20:0x833F307aC507D47309fD8CDD1F835BeF8D702a93,0x833F307aC507D47309fD8CDD1F835BeF8D702a93,56,REVV,REVV,18,revv,,1627450992,
eip155:56/erc20:0xc5E6689C9c8B02be7C49912Ef19e79cF24977f03,0xc5E6689C9c8B02be7C49912Ef19e79cF24977f03,56,AlpaToken,ALPA,18,alpaca,ALPA,1606878752,
eip155:56/erc20:0xA719b8aB7EA7AF0DDb4358719a34631bb79d15Dc,0xA719b8aB7EA7AF0DDb4358719a34631bb79d15Dc,56,Ferrum Network Token,FRM,18,ferrum-network,,1631602334,
eip155:56/erc20:0xEd8c8Aa8299C10f067496BB66f8cC7Fb338A3405,0xEd8c8Aa8299C10f067496BB66f8cC7Fb338A3405,56,Prosper,PROS,18,prosper,,1608046426,
eip155:56/erc20:0x67ee3Cb086F8a16f34beE3ca72FAD36F7Db929e2,0x67ee3Cb086F8a16f34beE3ca72FAD36F7Db929e2,56,DODO bird,DODO,18,dodo,,1612429005,
eip155:56/erc20:0xe48A3d7d0Bc88d552f730B62c006bC925eadB9eE,0xe48A3d7d0Bc88d552f730B62c006bC925eadB9eE,56,Frax Share,FXS,18,frax-share,,1632434223,
eip155:56/erc20:0x2645d5f59D952ef2317C8e0AaA5A61c392cCd44d,0x2645d5f59D952ef2317C8e0AaA5A61c392cCd44d,56,UniLend Finance Token,UFT,18,unlend-finance,,1615979524,
eip155:56/erc20:0xA325Ad6D9c92B55A3Fc5aD7e412B1518F96441C0,0xA325Ad6D9c92B55A3Fc5aD7e412B1518F96441C0,56,Oraichain Token,ORAI,18,oraichain-token,,1613029762,
eip155:56/erc20:0x44754455564474A89358B2C2265883DF993b12F0,0x44754455564474A89358B2C2265883DF993b12F0,56,ZeroSwapToken,ZEE,18,zeroswap,,1613126320,
eip155:56/erc20:0x2eD9a5C8C13b93955103B9a7C167B67Ef4d568a3,0x2eD9a5C8C13b93955103B9a7C167B67Ef4d568a3,56,Mask Network,MASK,18,mask-network,MASK,1624450594,
eip155:56/erc20:0x5857c96DaE9cF8511B08Cb07f85753C472D36Ea3,0x5857c96DaE9cF8511B08Cb07f85753C472D36Ea3,56,Fuse Token on BSC,FUSE,18,fuse-network-token,,1617546973,
eip155:56/erc20:0xaA9E582e5751d703F85912903bacADdFed26484C,0xaA9E582e5751d703F85912903bacADdFed26484C,56,Hacken Token,HAI,8,hackenai,HKN,1621266741,
eip155:56/erc20:0xfb288d60D3b66F9c3e231a9a39Ed3f158a4269aA,0xfb288d60D3b66F9c3e231a9a39Ed3f158a4269aA,56,Plasma,PPAY,18,plasma-finance,PPAY,1628059949,
eip155:56/erc20:0xfb7400707dF3D76084FBEae0109f41b178f71c02,0xfb7400707dF3D76084FBEae0109f41b178f71c02,56,Shadows,DOWS,18,shadows,DOWS,1619334145,
eip155:56/erc20:0x5D0158A5c3ddF47d4Ea4517d8DB0D76aA2e87563,0x5D0158A5c3ddF47d4Ea4517d8DB0D76aA2e87563,56,Bondly,BONDLY,18,bondly,BONDLY,1630119570,
eip155:56/erc20:0x762539b45A1dCcE3D36d080F74d1AED37844b878,0x762539b45A1dCcE3D36d080F74d1AED37844b878,56,Linear Token,LINA,18,linear,LINA,1610692630,
eip155:56/erc20:0xF218184Af829Cf2b0019F8E6F0b2423498a36983,0xF218184Af829Cf2b0019F8E6F0b2423498a36983,56,MATH Token,MATH,18,math,MATH,1604563328,
eip155:56/erc20:0x8519EA49c997f50cefFa444d240fB655e89248Aa,0x8519EA49c997f50cefFa444d240fB655e89248Aa,56,RAMP DEFI,RAMP,18,ramp,RAMP,1614311094,
